R,G,B,Name,Artkal Midi,Artkal Mini,Artkal Mini Starter,Artkal Midi Soft,Artkal Mini Soft,All Perler,Perler Multi Mix,Perler Mini Assorted,Perler Mini Bulk,EvoRetro,Funzbo
255,255,255,White,S01,C01,C01,R01,A01,,,,,,
255,163,139,Burning Sand,S02,C44,C44,R02,A44,,,,,,
246,176,76,Tangerine,S03,C03,C03,R03,A03,,,,,,
255,103,31,Orange,S04,C17,C17,R04,A17,,,,,,
225,6,0,Tall Poppy,S05,C05,C05,R05,A05,,,,,,
236,134,208,Raspberry Pink,S06,C49,,R06,A49,,,,,,
155,155,155,Gray,S07,C33,C33,R07,A33,,,,,,
36,222,91,Emerald,S08,,,R08,,,,,,,
0,104,94,Dark Green,S09,,,R09,,,,,,,
65,182,230,Baby Blue,S10,C19,C19,R10,A19,,,,,,
79,159,179,Lagoon,S100,C99,,,A99,,,,,,
49,150,221,Electric Blue,S101,C100,,,A100,,,,,,
27,108,182,Pool Blue,S102,C101,,,A101,,,,,,
8,57,128,Caribbean Blue,S103,C102,,,A102,,,,,,
10,102,139,Deep Water,S104,C103,,,A103,,,,,,
8,91,110,Petrol Blue,S105,C104,,,A104,,,,,,
0,78,120,Wegdewood Blue,S106,C105,,,A105,,,,,,
0,85,116,Pond Blue,S107,C106,,,A106,,,,,,
204,190,128,Seashell Beige,S108,C107,,,A107,,,,,,
164,147,80,Beige,S109,C108,,,A108,,,,,,
0,51,153,Dark Blue,S11,C21,C21,R11,A21,,,,,,
158,136,60,Beach Beige,S110,C109,,,A109,,,,,,
118,108,43,Caffe Latté,S111,C110,,,A110,,,,,,
121,95,38,Oaktree Brown,S112,C111,,,A111,,,,,,
186,184,162,Khaki,S113,C112,,,A112,,,,,,
114,140,84,Light Greengray,S114,C113,,,A113,,,,,,
126,124,68,Mossy Green,S115,C114,,,A114,,,,,,
100,105,46,Earth Green,S116,C115,,,A115,,,,,,
78,88,44,Sage Green,S117,C116,,,A116,,,,,,
74,94,45,Pinetree Green,S118,C117,,,A117,,,,,,
113,196,182,Frosty Blue,S119,C118,,,A118,,,,,,
160,94,181,Pastel Lavender,S12,C26,C26,R12,A26,,,,,,
102,204,153,Polar Mint,S120,C119,,,A119,,,,,,
86,154,131,Celadon Green,S121,C120,,,A120,,,,,,
20,194,91,Eucalyptus,S122,C121,,,A121,,,,,,
24,168,24,Clover Field,S123,C122,,,A122,,,,,,
4,85,46,Pooltable Felt,S124,C123,,,A123,,,,,,
19,107,90,Snake Green,S125,C124,,,A124,,,,,,
5,70,65,Dark Eucalyptus,S126,C125,,,A125,,,,,,
217,182,214,Marsmallow Rose,S127,C126,,,A126,,,,,,
173,98,164,Light Grape,S128,C127,,,A127,,,,,,
230,140,163,Rosebud Pink,S129,C128,,,A128,,,,,,
0,0,0,Black,S13,C02,C02,R13,A02,,,,,,
222,84,121,Fuschia,S130,C129,,,A129,,,,,,
158,130,186,Candy Violet,S131,C130,,,A130,,,,,,
232,65,107,Flamingo,S132,C131,,,A131,,,,,,
183,56,143,Pink Plum,S133,C132,,,A132,,,,,,
88,31,126,Amethyst,S134,C133,,,A133,,,,,,
140,163,212,Moonlight Blue,S135,C134,,,A134,,,,,,
154,154,204,Summer Rain,S136,C135,,,A135,,,,,,
89,129,193,Azure Blue,S137,C136,,,A136,,,,,,
65,102,176,Cornflower Blue,S138,C137,,,A137,,,,,,
71,95,171,Forget Me Not,S139,C138,,,A138,,,,,,
250,224,83,Sandstorm,S14,C42,C42,R14,A42,,,,,,
55,69,147,Indigo,S140,C139,,,A139,,,,,,
61,86,165,Horizon Blue,S141,C140,,,A140,,,,,,
41,66,135,Cobalt,S142,C141,,,A141,,,,,,
37,38,138,Royal Blue,S143,C142,,,A142,,,,,,
26,47,111,Marine,S144,C143,,,A143,,,,,,
211,201,93,Pale Yellow Moss,S145,C144,,,A144,,,,,,
81,9,24,Bloodrose Red,S146,C145,,,A145,,,,,,
100,179,158,Spearmint,S147,C146,,,A146,,,,,,
99,67,56,Mocha,S148,C147,,,A147,,,,,,
237,211,158,Creme,S149,C148,,,A148,,,,,,
122,62,44,Redwood,S15,C30,,R15,A30,,,,,,
105,99,171,Iris Violet,S150,C149,,,A149,,,,,,
43,63,31,Forest Green,S151,C150,,,A150,,,,,,
151,145,197,Lilac,S152,C151,,,A151,,,,,,
184,189,224,Pale Lilac,S153,C152,,,A152,,,,,,
249,200,152,Sahara Sand,S154,C153,,,A153,,,,,,
195,144,105,Sunkissed Teint,S155,C154,,,A154,,,,,,
90,90,90,Steel Grey,S156,C155,,,A155,,,,,,
60,60,60,Iron Grey,S157,C156,,,A156,,,,,,
26,26,26,Pepper,S158,C157,,,A157,,,,,,
139,139,139,Oslo Gray,S159,C56,,,A56,,,,,,
92,71,56,Brown,S16,C32,C32,R16,A32,,,,,,
123,77,53,Light Brown,S17,C31,C31,R17,A31,,,,,,
204,153,102,Sand,S18,C23,C23,R18,A23,,,,,,
252,191,169,Bubble Gum,S19,C22,C22,R19,A22,,,,,,
36,158,107,Green,S20,C14,,R20,A14,,,,,,
135,216,57,Pastel Green,S21,C13,C13,R21,A13,,,,,,
51,0,114,Purple,S22,C27,C27,R22,A27,,,,,,
100,53,155,Royal Purple,S23,,,R23,,,,,,,
20,123,209,True Blue,S24,C37,C37,R24,A37,,,,,,
255,52,179,Hot Pink,S25,C08,,R25,A08,,,,,,
219,33,82,Magenta,S26,C09,C09,R26,A09,,,,,,
255,209,0,Yellow,S27,C11,,R27,A11,,,,,,
234,184,228,Lily Pink,S28,,,R28,,,,,,,
246,235,97,Pastel Yellow,S29,C41,,R29,A41,,,,,,
153,214,234,Shadow Green,S30,C39,C39,R30,A39,,,,,,
158,229,176,Sea Mist,S31,C60,C60,R31,A60,,,,,,
255,231,128,Beeswax,S32,C24,,R32,A24,,,,,,
197,180,227,Maverick,S33,C50,C50,R33,A50,,,,,,
186,12,47,Red,S34,C06,,R34,A06,,,,,,
247,206,215,Mona Lisa,S35,,,R35,,,,,,,
